date,event_name,event_type,description,,,,,,,,,
04-02-2025,China Initial Shock,Tariff Increase,US imposes initial 10% tariff on all imports from China under IEEPA,,,,,,,,,
04-03-2025,Mexico Tariffs,Tariff Increase,"End of 30-day pause; US imposes 25% tariff on all imports from Mexico, Canada (10% on energy from Canada)",,,,,,,,,
04-03-2025,China Escalation,Tariff Increase,US increases tariffs on China from 10% to 20%,,,,,,,,,
12-03-2025,Global Steel/Alum,Sectoral Tariff,Section 232 tariffs (25% steel / 10% aluminum) go into effect globally,,,,,,,,,
03-04-2025,Global Auto Tariffs,Sectoral Tariff,Section 232 tariffs of 25% on automobiles go into effect globally,,,,,,,,,
05-04-2025,Global Baseline,Tariff Increase,Universal 10% IEEPA tariff applied to imports from nearly all countries,,,,,,,,,
10-04-2025,China Retaliation Spike,Retaliation,China imposes massive counter-tariffs bringing total rate to 125%,,,,,,,,,
12-05-2025,China Reset,Negotiation,China tariffs reset to 10% following US-China negotiation progress,,,,,,,,,
04-06-2025,Steel/Alum Hike,Sectoral Tariff,US increases Steel/Aluminum tariffs to 50% (UK exempted),,,,,,,,,
02-07-2025,Vietnam Deal,Bilateral Agreement,Vietnam agrees to fixed 20% tariff rate via trade deal,,,,,,,,,
15-07-2025,Indonesia Deal,Bilateral Agreement,Indonesia agrees to fixed 19% tariff rate via trade deal,,,,,,,,,
30-07-2025,Korea Deal,Bilateral Agreement,South Korea agrees to fixed 15% tariff rate via trade deal,,,,,,,,,
01-08-2025,Brazil Sanctions,Sanctions,US imposes additional 40% tariff on Brazil (Total effective rate ~50%),,,,,,,,,
27-08-2025,India Oil Sanction,Sanctions,US imposes additional 25% tariff on India for purchasing Russian oil,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
